EMPLOYEE_ID,EMPLOYEE_NAME,MANAGER_ID,PHONE_NUMBER,HIRE_DATE,SALARY,JOB,DEPARTMENT
100,Steven King,,(515) 123-4567,2003-06-17,24000,PRESIDENT,PRESIDENCE
101,Neena Kochhar,100,(515) 123-4568,2003-06-17,17000,VP,PRESIDENCE
102,Lex De Haan,100,(515) 123-4569,2003-06-17,17000,VP,PRESIDENCE
103,Alexander Hunold,102,(590) 423-4567,2006-01-03,9000,PROGRAMMER,IT
104,Bruce Ernst,103,(590) 423-4568,2007-05-21,6000,PROGRAMMER,IT
106,Valli Pataballa,103,(590) 423-4560,2007-05-21,4800,PROGRAMMER,IT
108,Nancy Greenberg,101,(515) 124-4569,2006-01-03,12000,MANAGER,FINANCE
111,Ismael Sciarra,108,(515) 124-4369,2007-09-30,7700,ACCOUNTANT,FINANCE
112,Jose Manuel Urman,108,(515) 124-4469,2006-03-07,7800,ACCOUNTANT,FINANCE
113,Luis Popp,108,(515) 124-4567,2007-05-21,6900,ACCOUNTANT,FINANCE
114,Den Raphaely,100,(515) 127-4561,2003-06-17,11000,MANAGER,ANALYTICS
115,Alexander Khoo,114,(515) 127-4562,2005-12-24,3100,CLERK,ANALYTICS
116,Shelli Baida,114,(515) 127-4563,2005-12-24,2900,CLERK,ANALYTICS
121,Adam Fripp,100,(650) 123-2234,2003-06-17,8200,MANAGER,DOCUMENTATION
129,Laura Bissot,121,(650) 124-5234,2004-06-07,3300,CLERK,DOCUMENTATION
204,Hermann Baer,101,(515) 123-8888,2004-06-07,10000,SALES REP,SALES
205,Shelley Higgins,101,(515) 123-8080,2004-06-07,12000,CONTROLLER,FINANCE
